R.No,Boarding Point,Time,lat,lon,students per stop
1,"ITC, Chennai",05:05:00,13.1842959,80.3089189,7
1,"Wimco nagar, Chennai",05:52:00,13.1796833,80.3054594,20
1,"Theradi, Chennai",05:56:00,12.9853865,80.2237481,15
1,"Thangal, Chennai",05:58:00,13.1418303,80.1903291,11
1,"Tollgate, Chennai",06:01:00,13.1431344,80.2963291,8
10,"Jeeva Station, Chennai",06:12:00,13.1091961,80.2572195,7
10,"Otteri, Chennai",06:25:00,13.0969576,80.2487215,19
10,"TP Hospital, Chennai",06:29:00,13.0248189,80.2348737,11
10A,"Anna Nagar West Depot, Chennai",06:45:00,13.0939333,80.1980855,11
10C,"Kallukadai Bus Stop, Chennai",06:04:00,13.1022099,80.2107409,4
10C,"Kambar Arangam, Chennai",06:36:00,13.0993988,80.2210877,8
11,"Moolakadai, Chennai",06:25:00,13.1291684,80.2416991,3
11,"M1.Police Station, Chennai",06:27:00,13.0683459,80.2135958,2
11A,"Ambattur Telephone Exchange, Chennai",06:05:00,13.1015048,80.1620958,12
11A,"Pattaravakkam, Chennai",06:47:00,13.1143904,80.1663975,6
11C,"Church, Chennai",06:37:00,12.9924028,80.2059363,2
12,"MR Nagar, Chennai",06:02:00,13.0407334,80.1859659,1
12,"MKB Nagar, Chennai",06:15:00,13.1225331,80.2631374,12
12,"KKD Nagar, Chennai",06:17:00,13.1268765,80.2616612,12
12,"Pavithra Hospital, Chennai",06:22:00,13.1261166,80.2488364,17
12C,"BP Road, Chennai",06:10:00,13.0116259,80.2185178,10
13,"Axis Bank, Chennai",06:23:00,13.099817,80.2878941,16
13A,"Retteri Junction, Chennai",06:35:00,13.1301972,80.2139336,15
13A,"Saravana Store (Padi), Chennai",06:42:00,13.1011255,80.1935917,15
13B,"Senthil Nagar, Chennai",06:35:00,13.1216887,80.2039496,19
13C,"Temple School, Chennai",06:03:00,12.8955702,80.2195619,12
13C,"SBI-Bank, Chennai",06:20:00,13.0393986,80.2467204,20
13C,"Grace Super Market, Chennai",06:25:00,13.0473227,80.2263691,3
14,"Rice Mill, Chennai",05:50:00,16.5148129,80.7046881,5
14,"Manali New Town, Chennai",06:01:00,13.2116618,80.2771598,19
14,"Vichoor, Chennai",06:12:00,13.19868,80.2534581,7
14,"Valluvar Nagar, Chennai",07:01:00,13.0231753,80.1838975,9
14C,"Shastri nagar, Chennai",06:02:00,12.9987729,80.2599116,7
14C,"Mathur 1st Main Road, Chennai",06:24:00,13.1678641,80.2436918,18
14C,"Veterinary college, Chennai",06:26:00,13.0862093,80.2679203,4
14C,"Arul Nagar, Chennai",06:28:00,12.9536072,80.1929252,14
15,"Dunlop, Chennai",06:03:00,13.1060625,80.1524361,18
15,"Canara Bank, Chennai",06:31:00,13.0839195,80.1750656,9
15A,"Pallavan Nagar, Chennai",06:55:00,13.057293,80.1799027,2
15B,"Thirumullaivoyal, Chennai",06:40:00,13.1309288,80.131225,20
15C,"Singapore shopping, Chennai",06:30:00,13.1214544,80.1480943,15
15D,"EB, Chennai",06:04:00,53.4778968,-2.498459,7
15D,"Pillaiyar kovil, Chennai",06:32:00,13.037804,80.236041,12
15D,"Ration shop, Chennai",06:37:00,13.0724044,80.2306064,8
15E,"Lakshmipuram, Chennai",06:16:00,12.9873405,80.2205949,15
15E,"Surapet Main Road, Chennai",06:23:00,13.140255,80.2020724,3
15F,"Vaishnavi Nagar, Chennai",06:05:00,13.1305706,80.1261526,14
